Id,Name,Type,Level,Race,Attribute,ATK,DEF
1,Limit Reverse,Trap Card,,Continuous,,,
2,The 13th Grave,Normal Monster,3,Zombie,DARK,1200,900
3,Gem-Enhancement,Trap Card,,Normal,,,
4,Magician's Circle,Trap Card,,Normal,,,
5,Castle of Dark Illusions,Flip Effect Monster,4,Fiend,DARK,920,1930
6,Cipher Spectrum,Trap Card,,Normal,,,
7,Lava Golem,Effect Monster,8,Fiend,FIRE,3000,2500
8,Dark Magic Expanded,Spell Card,,Quick-Play,,,
9,Seismic Crasher,Effect Monster,3,Rock,EARTH,1400,300
10,Laval Lancelord,Effect Monster,6,Warrior,FIRE,2100,200
11,Skull Dice,Trap Card,,Normal,,,
12,Performapal Springoose,Effect Monster,5,Winged Beast,WIND,1100,2400
13,Miracle Flipper,Effect Monster,2,Spellcaster,LIGHT,300,500
14,Key Mouse,Tuner Monster,1,Beast,EARTH,100,100
15,Mischief of the Gnomes,Trap Card,,Normal,,,
16,Vylon Hept,Effect Monster,4,Fairy,LIGHT,1800,800
17,Koa'ki Meiru Prototype,Effect Monster,4,Rock,EARTH,1800,1800
18,Koa'ki Meiru Token,Token,,Rock,,,
19,Hero Flash!!,Spell Card,,Normal,,,
20,E - Emergency Call,Spell Card,,Normal,,,
21,Fenrir,Effect Monster,4,Beast,WATER,1400,1200
22,Ballista of Rampart Smashing,Spell Card,,Equip,,,
23,Rapid Warrior,Effect Monster,4,Warrior,WIND,1200,200
24,Inzektor Gauntlet,Trap Card,,Normal,,,
25,Mound of the Bound Creator,Spell Card,,Field,,,
26,Mermail Abyssnose,Effect Monster,4,Fish,WATER,1500,1500
27,Jet Warrior,Synchro Monster,5,Warrior,FIRE,2100,1200
28,T.G. Warwolf,Effect Monster,3,Beast-Warrior,DARK,1200,0
29,A Legendary Ocean,Spell Card,,Field,,,
30,The Regulation of Tribe,Trap Card,,Continuous,,,
31,Amplifier,Spell Card,,Equip,,,
32,Spell Gear,Spell Card,,Normal,,,
33,Gusto Squirro,Tuner Monster,2,Thunder,WIND,0,1800
34,Performapal Elephammer,Effect Monster,6,Beast,EARTH,2600,1800
35,Evilswarm Nightmare,XYZ Monster,4,Fiend,DARK,950,1950
36,Dinomist Brachion,Pendulum Effect Monster,5,Machine,WATER,2000,800
37,Gagaga Sister,Effect Monster,2,Spellcaster,DARK,200,800
38,Wattgiraffe,Effect Monster,4,Thunder,LIGHT,1200,100
39,The A. Forces,Spell Card,,Continuous,,,
40,Summoner Monk,Effect Monster,4,Spellcaster,DARK,800,1600
41,Gearfried the Iron Knight,Effect Monster,4,Warrior,EARTH,1800,1600
42,Goblin of Greed,Effect Monster,4,Fiend,EARTH,1000,1800
43,Bahamut Shark,XYZ Monster,4,Sea Serpent,WATER,2600,2100
44,The Book of the Law,Spell Card,,Quick-Play,,,
45,Frightfur Tiger,Fusion Monster,6,Fiend,DARK,1900,1200
46,Driving Snow,Trap Card,,Normal,,,
47,Water Spirit,Normal Tuner Monster,1,Aqua,WATER,400,1200
48,Superheavy Samurai Warlord Susanowo,Synchro Monster,10,Machine,EARTH,2400,3800
49,Cherry Inmato,Tuner Monster,2,Plant,DARK,700,400
50,Prevent Rat,Normal Monster,4,Beast,EARTH,500,2000
51,Totem Dragon,Effect Monster,2,Dragon,EARTH,400,200
52,PSY-Frame Circuit,Spell Card,,Field,,,
53,Daigusto Emeral,XYZ Monster,4,Rock,WIND,1800,800
54,Snake Fang,Trap Card,,Normal,,,
55,Malefic Rainbow Dragon,Effect Monster,10,Dragon,DARK,4000,0
56,"Virgil, Rock Star of the Burning Abyss",Synchro Monster,6,Spellcaster,LIGHT,2500,1000
57,Gladiator Beast Retiari,Effect Monster,3,Aqua,WATER,1200,800
58,Majespecter Toad - Ogama,Pendulum Effect Monster,4,Spellcaster,WIND,1300,500
59,Alien Ammonite,Tuner Monster,1,Reptile,LIGHT,500,200
60,Dark Eruption,Spell Card,,Normal,,,
61,Zodiac Sign,Spell Card,,Field,,,
62,Solar Recharge,Spell Card,,Normal,,,
63,Thunder End Dragon,XYZ Monster,8,Dragon,LIGHT,3000,2000
64,Atlantean Marksman,Effect Monster,3,Sea Serpent,WATER,1400,0
65,Amazoness Village,Spell Card,,Field,,,
66,Temple of Skulls,Normal Monster,4,Zombie,DARK,900,1300
67,"Rubic, Malebranche of the Burning Abyss",Tuner Monster,3,Fiend,DARK,100,2100
68,Doron,Normal Monster,2,Warrior,EARTH,900,500
69,Hiita the Fire Charmer,Flip Effect Monster,3,Spellcaster,FIRE,500,1500
70,Empress of Prophecy,XYZ Monster,5,Spellcaster,LIGHT,2000,1700
71,Super Soldier Shield,Trap Card,,Counter,,,
72,Number Wall,Trap Card,,Continuous,,,
73,Dragunity Arma Mystletainn,Effect Monster,6,Dragon,WIND,2100,1500
74,Dragunity Knight - Gae Bulg,Synchro Monster,6,Dragon,WIND,2000,1100
75,Vertical Landing,Spell Card,,Quick-Play,,,
76,Unexpected Dai,Spell Card,,Normal,,,
77,Gagagatag,Spell Card,,Normal,,,
78,Geargiarmor,Effect Monster,4,Machine,EARTH,1100,1900
79,Penalty Game!,Trap Card,,Normal,,,
80,Armed Dragon LV3,Effect Monster,3,Dragon,WIND,1200,900
81,Half Unbreak,Trap Card,,Normal,,,
82,Rebound,Trap Card,,Counter,,,
83,Expressroid,Effect Monster,4,Machine,EARTH,400,1600
84,Doggy Diver,Effect Monster,4,Warrior,DARK,1000,1000
85,Starlight Junktion,Spell Card,,Field,,,
86,Void Trap Hole,Trap Card,,Normal,,,
87,Junk Changer,Tuner Monster,3,Warrior,EARTH,1500,900
88,Painful Decision,Spell Card,,Normal,,,
89,Misfortune,Spell Card,,Normal,,,
90,Geargiano Mk-II,Effect Monster,3,Machine,EARTH,1000,500
91,Satellarknight Unukalhai,Effect Monster,4,Warrior,LIGHT,1800,1000
92,Scrapyard,Spell Card,,Normal,,,
93,Magic Planter,Spell Card,,Normal,,,
94,Pyro Clock of Destiny,Trap Card,,Normal,,,
95,Dark Mimic LV3,Effect Monster,3,Fiend,DARK,1000,1000
96,Sargasso the D.D. Battlefield,Spell Card,,Field,,,
97,Deck Lockdown,Spell Card,,Continuous,,,
98,Paleozoic Leanchoilia,Trap Card,,Normal,,,
99,Kojikocy,Normal Monster,4,Warrior,EARTH,1500,1200
100,Mirror of Yata,Spell Card,,Equip,,,
101,Malevolent Catastrophe,Trap Card,,Normal,,,
102,Chain Destruction,Trap Card,,Normal,,,
103,Herald of Pure Light,XYZ Monster,2,Fairy,LIGHT,600,1000
104,Gem-Knight Fusion,Spell Card,,Normal,,,
105,Kozmo Soartroopers,Effect Monster,3,Psychic,DARK,1000,1000
106,Vylon Tetra,Tuner Monster,2,Machine,LIGHT,900,900
107,Prime Material Falcon,Effect Monster,5,Winged Beast,WIND,2200,800
108,T.G. Striker,Tuner Monster,2,Warrior,EARTH,800,0
109,Mysterious Guard,Flip Effect Monster,3,Spellcaster,EARTH,800,1200
110,"Valhalla, Hall of the Fallen",Spell Card,,Continuous,,,
111,Ronintoadin,Effect Monster,2,Aqua,WATER,100,2000
112,Photon Crusher,Effect Monster,4,Warrior,LIGHT,2000,0
113,Vampire Koala,Effect Monster,4,Beast,EARTH,1800,1500
114,Shared Ride,Spell Card,,Quick-Play,,,
115,Hazy Flame Sphynx,Effect Monster,6,Beast-Warrior,FIRE,1900,1900
116,Super Roboyarou,Fusion Monster,6,Machine,EARTH,1200,500
117,Phantom Token,Token,,Fiend,,,
118,Chaos Necromancer,Effect Monster,1,Fiend,DARK,0,0
119,Dragon Treasure,Spell Card,,Equip,,,
120,Bee List Soldier,Effect Monster,1,Insect,WIND,500,400
121,Allure of Darkness,Spell Card,,Normal,,,
122,Kagemusha of the Six Samurai,Tuner Monster,2,Warrior,EARTH,400,1800
123,Rune-Eyes Pendulum Dragon,Fusion Monster,8,Dragon,DARK,3000,2000
124,The Hunter with 7 Weapons,Effect Monster,3,Warrior,EARTH,1000,600
125,R-Genex Magma,Effect Monster,3,Pyro,FIRE,1000,200
126,Space Gift,Spell Card,,Normal,,,
127,Cyber End Dragon,Fusion Monster,10,Machine,LIGHT,4000,2800
128,Cyber End Dragon,Fusion Monster,10,Machine,LIGHT,4000,2800
129,"Rose, Warrior of Revenge",Tuner Monster,4,Warrior,FIRE,1600,600
130,Silver Bow and Arrow,Spell Card,,Equip,,,
131,ABC-Dragon Buster,Fusion Monster,8,Machine,LIGHT,3000,2800
132,White Ninja,Flip Effect Monster,4,Warrior,LIGHT,1500,800
133,Deep-Space Cruiser IX,Effect Monster,9,Machine,LIGHT,900,900
134,Dimension Fortress Weapon,Effect Monster,4,Machine,DARK,1700,200
135,Dark Requiem Xyz Dragon,XYZ Monster,5,Dragon,DARK,3000,2500
136,Grand Horn of Heaven,Trap Card,,Counter,,,
137,Divine Dragon Knight Felgrand,XYZ Monster,8,Warrior,LIGHT,2800,1800
138,Fusionist,Fusion Monster,3,Beast,EARTH,900,700
139,Vylon Segment,Spell Card,,Equip,,,
140,Brotherhood of the Fire Fist - Spirit,Tuner Monster,3,Beast-Warrior,FIRE,500,200
141,Spell Purification,Trap Card,,Normal,,,
142,Ultimaya Tzolkin,Synchro Monster,12,Dragon,DARK,0,0
143,The Big March of Animals,Spell Card,,Quick-Play,,,
144,PSY-Framegear Epsilon,Tuner Monster,2,Psychic,LIGHT,1500,0
145,Malefic Cyber End Dragon,Effect Monster,10,Machine,DARK,4000,2800
146,Nekogal 1,Normal Monster,3,Beast,EARTH,1100,900
147,Fuh-Rin-Ka-Zan,Trap Card,,Normal,,,
148,Uraby,Normal Monster,4,Dinosaur,EARTH,1500,800
149,The Eye of Timaeus,Spell Card,,Normal,,,
150,Centrifugal Field,Spell Card,,Field,,,
151,Sealing Ceremony of Mokuton,Trap Card,,Continuous,,,
152,Dark Coffin,Trap Card,,Normal,,,
153,Toy Knight,Effect Monster,4,Machine,EARTH,200,1200
154,Shadow of the Six Samurai - Shien,XYZ Monster,4,Warrior,EARTH,2500,400
155,Heroic Challenger - Thousand Blades,Effect Monster,4,Warrior,EARTH,1300,1100
156,Wattcine,Spell Card,,Continuous,,,
157,Overdrive Teleporter,Effect Monster,6,Psychic,LIGHT,2100,1200
158,Instant Fusion,Spell Card,,Normal,,,
159,Bujintei Kagutsuchi,XYZ Monster,4,Beast-Warrior,LIGHT,2500,2000
160,Dimension Explosion,Spell Card,,Quick-Play,,,
161,Minor Goblin Official,Trap Card,,Continuous,,,
162,Key Mace,Normal Monster,1,Fairy,LIGHT,400,300
163,Elemental HERO Nova Master,Fusion Monster,8,Warrior,FIRE,2600,2100
164,Ancient Gear Engineer,Effect Monster,5,Machine,EARTH,1500,1500
165,Mokey Mokey Smackdown,Spell Card,,Continuous,,,
166,Puppet Ritual,Spell Card,,Normal,,,
167,Silent Swordsman LV3,Effect Monster,3,Warrior,LIGHT,1000,1000
168,Blackwing - Gale the Whirlwind,Tuner Monster,3,Winged Beast,DARK,1300,400
169,Hidden Soldiers,Trap Card,,Normal,,,
170,Time-Space Trap Hole,Trap Card,,Normal,,,
171,Gladiator Beast Lanista,Effect Monster,4,Winged Beast,WIND,1800,1200
172,Wetlands,Spell Card,,Field,,,
173,Worm Victory,Flip Effect Monster,7,Reptile,LIGHT,0,2500
174,Constellar Praesepe,XYZ Monster,4,Machine,LIGHT,2400,800
175,"Bixi, Water of the Yang Zing",Effect Monster,2,Wyrm,WATER,0,2000
176,Smile World,Spell Card,,Normal,,,
177,XY-Dragon Cannon,Fusion Monster,6,Machine,LIGHT,2200,1900
178,Hyosube,Normal Monster,4,Aqua,WATER,1500,900
179,Trap Reclamation,Trap Card,,Normal,,,
180,Blue-Eyes Twin Burst Dragon,Fusion Monster,10,Dragon,LIGHT,3000,2500
181,Numinous Healer,Trap Card,,Normal,,,
182,Asura Priest,Spirit Monster,4,Fairy,LIGHT,1700,1200
183,Meklord Army of Granel,Effect Monster,4,Machine,EARTH,1600,1200
184,Armor Ninjitsu Art of Rust Mist,Trap Card,,Continuous,,,
185,Cyber Prima,Effect Monster,6,Warrior,LIGHT,2300,1600
186,Night Papilloperative,XYZ Monster,4,Warrior,DARK,2600,2000
187,Gambler of Legend,Effect Monster,4,Spellcaster,DARK,500,1400
188,XX-Saber Hyunlei,Synchro Monster,6,Warrior,EARTH,2300,1300
189,Book of Life,Spell Card,,Normal,,,
190,Morphtronic Staplen,Effect Monster,4,Machine,EARTH,1400,1000
191,Satellarknight Altair,Effect Monster,4,Warrior,LIGHT,1700,1300
192,One for One,Spell Card,,Normal,,,
193,Symbol of Friendship,Spell Card,,Normal,,,
194,Overdrive,Normal Monster,4,Machine,EARTH,1600,1500
195,Dark Magic Attack,Spell Card,,Normal,,,
196,Princess Curran,Effect Monster,4,Spellcaster,DARK,2000,0
197,Road Warrior,Synchro Monster,8,Warrior,LIGHT,3000,1500
198,Des Lacooda,Effect Monster,3,Zombie,EARTH,500,600
199,Tyr of the Nordic Champions,Effect Monster,4,Warrior,LIGHT,2000,2000
200,Great Long Nose,Spirit Monster,5,Beast-Warrior,DARK,1900,1700
201,Pendulum Area,Trap Card,,Normal,,,
202,Light of Redemption,Spell Card,,Normal,,,
203,Steel Shell,Spell Card,,Equip,,,
204,Xyz Reflect,Trap Card,,Counter,,,
205,Paleozoic Eldonia,Trap Card,,Normal,,,
206,Neo Flamvell Hedgehog,Tuner Monster,3,Pyro,FIRE,800,200
207,Steel Cavalry of Dinon,Pendulum Effect Monster,4,Dinosaur,EARTH,1600,2600
208,Power Tool Dragon,Synchro Monster,7,Machine,EARTH,2300,2500
209,Laval Volcano Handmaiden,Tuner Monster,1,Pyro,FIRE,100,200
210,"Shire, Lightsworn Spirit",Effect Monster,3,Fairy,LIGHT,400,1400
211,Marauding Captain,Effect Monster,3,Warrior,EARTH,1200,400
212,Inzektor Ladybug,Effect Monster,2,Insect,DARK,500,100
213,Sealmaster Meisei,Normal Monster,3,Spellcaster,DARK,1100,900
214,Water Omotics,Normal Monster,4,Aqua,WATER,1400,1200
215,Skull Knight,Fusion Monster,7,Spellcaster,DARK,2650,2250
216,Legendary Six Samurai - Kageki,Effect Monster,3,Warrior,WIND,200,2000
217,Sky Galloping Gaia the Dragon Champion,Fusion Monster,7,Dragon,WIND,2600,2100
218,Brotherhood of the Fire Fist - Swallow,Effect Monster,5,Beast-Warrior,FIRE,2000,800
219,"Defender, the Magical Knight",Effect Monster,4,Spellcaster,LIGHT,1600,2000
220,Galaxy-Eyes Cipher Blade Dragon,XYZ Monster,9,Dragon,LIGHT,3200,2800
221,Red Cocoon,Trap Card,,Normal,,,
222,Majespecter Tempest,Trap Card,,Counter,,,
223,Shocktopus,Effect Monster,4,Fish,WATER,1600,800
224,Wizard Buster Destruction Sword,Effect Monster,3,Spellcaster,DARK,1200,900
225,Photon Chargeman,Effect Monster,4,Warrior,LIGHT,1000,1000
226,Gladiator Beast Samnite,Effect Monster,3,Beast,EARTH,1600,1200
227,ZW - Sleipnir Mail,Effect Monster,4,Beast,LIGHT,1000,1000
228,Hyper Hammerhead,Effect Monster,4,Dinosaur,EARTH,1500,1200
229,Medusa Worm,Effect Monster,2,Rock,EARTH,500,600
230,Fluffal Cat,Effect Monster,1,Fairy,EARTH,700,300
231,Decoy Dragon,Effect Monster,2,Dragon,FIRE,300,200
